ID,authors,title,journal,year_pub,pages,journal_issue,type,number_authors,collaborative,full_reference,lead_author_institution,institution_country,institution_type,country_topic,theory_topic,subject_topic,method_topic
316,"Roymans, N Fernández-Götz, M",Caesar in Gaul: New Perspectives on the Archaeology of Mass Violence,Theoretical Roman Archaeology Conference Proceedings,2015,pp.70-80,24,proc,2,TRUE,"Roymans, N. and Fernández-Götz, M., 2015. Caesar in Gaul: New Perspectives on the Archaeology of Mass Violence. Theoretical Roman Archaeology Journal, (2014), pp.70–80. DOI: http://doi.org/10.16995/TRAC2014_70_80",Vrije Universiteit Amsterdam,Netherlands,University,France,violence,artefacts,text
317,"Mandich, M",Re-defining the Roman ‘suburbium’ from Republic to Empire: A Theoretical Approach,Theoretical Roman Archaeology Conference Proceedings,2015,pp.81-99,24,proc,1,FALSE,"Mandich, M.J., 2015. Re-defining the Roman ‘suburbium’ from Republic to Empire: A Theoretical Approach. Theoretical Roman Archaeology Journal, (2014), pp.81–99. DOI: http://doi.org/10.16995/TRAC2014_81_99",University of Leicester,England,University,Italy,urbanism space,,modelling
318,"Lagóstena, L Castro, M Bastos, Á","Riparia Concept: Roman Intervention in the Lacustrine Environment of Fuente De Piedra (Málaga, Spain)",Theoretical Roman Archaeology Conference Proceedings,2015,pp.100-113,24,proc,3,TRUE,"Lagóstena, L., Castro, M.-. del .-M. and Bastos, Á., 2015. Riparia Concept: Roman Intervention in the Lacustrine Environment of Fuente De Piedra (Málaga, Spain) . Theoretical Roman Archaeology Journal, (2014), pp.100–113. DOI: http://doi.org/10.16995/TRAC2014_100_113",Universidad de Cádiz,Spain,University,Spain,landscape,wetlands,
319,"Fulford, M",Silchester: The Town Life Project 1997–2014: Reflections on a Long Term Research Excavation,Theoretical Roman Archaeology Conference Proceedings,2015,pp.114-121,24,proc,1,FALSE,"Fulford, M., 2015. Silchester: The Town Life Project 1997–2014: Reflections on a Long Term Research Excavation. Theoretical Roman Archaeology Journal, (2014), pp.114–121. DOI: http://doi.org/10.16995/TRAC2014_114_121",University of Reading,England,University,Britain,,,excavation retrospective
320,"Mandich, M Derrick, T Sanchez, S Savani, G Zampieri, E",Preface,Theoretical Roman Archaeology Conference Proceedings,2016,pp.i-vii,25,proc,5,TRUE,"Mandich, M.J., Derrick, T.J., Sanchez, S.G., Savani, G. and Zampieri, E., 2016. Front Matter and Editors’ Preface. Theoretical Roman Archaeology Journal, (2015), p.i–vii. DOI: http://doi.org/10.16995/TRAC2015_i_vii",University of Leicester,England,University,,,preface,
321,"Gardner, A","Debating Roman Imperialism: Critique, Construct, Repeat?",Theoretical Roman Archaeology Conference Proceedings,2016,pp.1-14,25,proc,1,FALSE,"Gardner, A., 2016. Debating Roman Imperialism: Critique, Construct, Repeat?. Theoretical Roman Archaeology Journal, (2015), pp.1–14. DOI: http://doi.org/10.16995/TRAC2015_1_14",University College London,England,University,,,,retrospective
322,"McKie, S","Distraught, Drained, Devoured, or Damned? The Importance of Individual Creativity in Roman Cursing",Theoretical Roman Archaeology Conference Proceedings,2016,pp.15-27,25,proc,1,FALSE,"McKie, S., 2016. Distraught, Drained, Devoured, or Damned? The Importance of Individual Creativity in Roman Cursing. Theoretical Roman Archaeology Journal, (2015), pp.15–27. DOI: http://doi.org/10.16995/TRAC2015_15_27",Open University,England,University,Britain,religion creativity,curse-tablets,
323,"Quercia, A Cazzulo, M",Fear of the Dead? ‘Deviant’ Burials in Roman Northern Italy,Theoretical Roman Archaeology Conference Proceedings,2016,pp.28-42,25,proc,2,TRUE,"Quercia, A. and Cazzulo, M., 2016. Fear of the Dead? ‘Deviant’ Burials in Roman Northern Italy. Theoretical Roman Archaeology Journal, (2015), pp.28–42. DOI: http://doi.org/10.16995/TRAC2015_28_42",Ministero per i Beni e le Attività Culturali e del Turismo,Italy,National heritage body,Italy,deviant death,burial,osteoarchaeology
324,"Botturi, C",‘Landscapes of Life’ and ‘Landscapes of Death’: The Contribution of Funerary Evidence to the Understanding of the Perception and Organisation of Roman Rural Landscapes in Northern Italy,Theoretical Roman Archaeology Conference Proceedings,2016,pp.43-56,25,proc,1,FALSE,"Botturi, C., 2016. ‘Landscapes of Life’ and ‘Landscapes of Death’: The Contribution of Funerary Evidence to the Understanding of the Perception and Organisation of Roman Rural Landscapes in Northern Italy. Theoretical Roman Archaeology Journal, (2015), pp.43–56. DOI: http://doi.org/10.16995/TRAC2015_43_56",University of Southampton,England,University,Italy,landscape death rural,burial,
325,"Rose, D","Lieux de Mémoire, Central Places, and the Sanctuary of Ribemont-sur-Ancre: A Preliminary Look",Theoretical Roman Archaeology Conference Proceedings,2016,pp.57-75,25,proc,1,FALSE,"Rose, D.S., 2016. Lieux de Mémoire, Central Places, and the Sanctuary of Ribemont-sur-Ancre: A Preliminary Look. Theoretical Roman Archaeology Journal, (2015), pp.57–75. DOI: http://doi.org/10.16995/TRAC2015_57_75",University of Edinburgh,Scotland,University,France,ritual memory landscape,architecture sanctuary,
326,"Garland, N","Agency, Structure, and Place: Finds in the Landscape in the Late Iron Age / Early Roman Transition",Theoretical Roman Archaeology Conference Proceedings,2016,pp.76-91,25,proc,1,FALSE,"Garland, N., 2016. Agency, Structure, and Place: Finds in the Landscape in the Late Iron Age / Early Roman Transition. Theoretical Roman Archaeology Journal, (2015), pp.76–91. DOI: http://doi.org/10.16995/TRAC2015_76_91",University College London,England,University,Britain,landscape ritual identity place,artefacts,
327,"Esposito, A",A Context for Roman Priestly Regalia: Depositional Practices and Spatial Distribution of Assemblages from Roman Britain,Theoretical Roman Archaeology Conference Proceedings,2016,pp.92-110,25,proc,1,FALSE,"Esposito, A., 2016. A Context for Roman Priestly Regalia: Depositional Practices and Spatial Distribution of Assemblages from Roman Britain. Theoretical Roman Archaeology Journal, (2015), pp.92–110. DOI: http://doi.org/10.16995/TRAC2015_92_110","King's College, London",England,University,Britain,structured-deposition space,artefacts,
328,"Thomas, S",From Treasured Items to Trash? The Use of Brooches in Roman Cornwall in the Creation of Identity and Social Memory,Theoretical Roman Archaeology Conference Proceedings,2016,pp.111-124,25,proc,1,FALSE,"Thomas, S., 2016. From Treasured Items to Trash? The Use of Brooches in Roman Cornwall in the Creation of Identity and Social Memory. Theoretical Roman Archaeology Journal, (2015), pp.111–124. DOI: http://doi.org/10.16995/TRAC2015_111_124",Cardiff University,Wales,University,Britain,identity memory,brooches,
329,"Maréchal, S",Public and Private Bathing in Late Antique North Africa. Changing Habits in a Changing Society?,Theoretical Roman Archaeology Conference Proceedings,2016,pp.125-140,25,proc,1,FALSE,"Maréchal, S., 2016. Public and Private Bathing in Late Antique North Africa. Changing Habits in a Changing Society?. Theoretical Roman Archaeology Journal, (2015), pp.125–140. DOI: http://doi.org/10.16995/TRAC2015_125_140",Ghent University,Belgium,University,Algeria,,architecture baths,
330,"Walsh, D",Understanding the Status of the Cult of Mithras in the Tetrarchic Period: A Socio-Archaeological Approach,Theoretical Roman Archaeology Conference Proceedings,2016,pp.141-152,25,proc,1,FALSE,"Walsh, D., 2016. Understanding the Status of the Cult of Mithras in the Tetrarchic Period: A Socio-Archaeological Approach. Theoretical Roman Archaeology Journal, (2015), pp.141–152. DOI: http://doi.org/10.16995/TRAC2015_141_152",University of Kent,England,University,,religion society space,sanctuary military architecture,
331,"Kneafsey, M",Adventus: Conceptualising Boundary Space in the Art and Text of Early Imperial to Late Antique Rome,Theoretical Roman Archaeology Conference Proceedings,2016,pp.153-163,25,proc,1,FALSE,"Kneafsey, M., 2016. Adventus: Conceptualising Boundary Space in the Art and Text of Early Imperial to Late Antique Rome. Theoretical Roman Archaeology Journal, (2015), pp.153–163. DOI: http://doi.org/10.16995/TRAC2015_153_163",University of Exeter,England,University,Italy,space,sculpture,epigraphy
332,"Russell, A",On Gender and Spatial Experience in Public: The Case of Ancient Rome,Theoretical Roman Archaeology Conference Proceedings,2016,pp.164-176,25,proc,1,FALSE,"Russell, A., 2016. On Gender and Spatial Experience in Public: The Case of Ancient Rome. Theoretical Roman Archaeology Journal, (2015), pp.164–176. DOI: http://doi.org/10.16995/TRAC2015_164_176",Durham University,England,University,Italy,gender feminism space,,
333,"Thomas, B",Imperial Statues and Public Spaces in Late Antiquity: Conceptualising ‘Constantine’ at York as an Ancient Public Commission,Theoretical Roman Archaeology Conference Proceedings,2016,pp.177-187,25,proc,1,FALSE,"Thomas, B., 2016. Imperial Statues and Public Spaces in Late Antiquity: Conceptualising ‘Constantine’ at York as an Ancient Public Commission. Theoretical Roman Archaeology Journal, (2015), pp.177–187. DOI: http://doi.org/10.16995/TRAC2015_177_187",University of Leicester,England,University,Britain,experience,sculpture modernity,
334,"Mandich, M",Urban Scaling and the Growth of Rome,Theoretical Roman Archaeology Conference Proceedings,2016,pp.188-203,25,proc,1,FALSE,"Mandich, M.J., 2016. Urban Scaling and the Growth of Rome. Theoretical Roman Archaeology Journal, (2015), pp.188–203. DOI: http://doi.org/10.16995/TRAC2015_188_203",University of Leicester,England,University,Italy,urbanism economy,,urban-scaling
335,"Cascino, R De Stefano, F Lepone, A Marchetti, C",Preface,Theoretical Roman Archaeology Conference Proceedings,2017,pp.1-16,26,proc,4,TRUE,"Cascino, R., De Stefano, F., Lepone, A. and Marchetti, C.M., 2017. Front Matter and Editors' Preface. Theoretical Roman Archaeology Journal, (2016), pp.1–15. DOI: http://doi.org/10.16995/TRAC2016_1_15",Sapienza Università di Roma,Italy,University,,,preface,
336,"Soko?owski, L",Portrait as a Medium? Interpreting Funerary Portrait Reliefs from Palmyra as a Means of Communication,Theoretical Roman Archaeology Conference Proceedings,2017,pp.17-36,26,proc,1,FALSE,"Soko?owski, ?., 2017. Portrait as a Medium? Interpreting Funerary Portrait Reliefs from Palmyra as a Means of Communication. Theoretical Roman Archaeology Journal, (2016), pp.17–35. DOI: http://doi.org/10.16995/TRAC2016_17_35",University of Konstanz,Germany,University,Syria,society,sculpture burial,epigraphy iconography
337,"Brent, L","Disturbed, Damaged and Disarticulated: Grave Reuse in Roman Italy",Theoretical Roman Archaeology Conference Proceedings,2017,pp.37-50,26,proc,1,FALSE,"Brent, L., 2017. Disturbed, Damaged and Disarticulated: Grave Reuse in Roman Italy. Theoretical Roman Archaeology Journal, (2016), pp.37–50. DOI: http://doi.org/10.16995/TRAC2016_37_50",Cornell University,USA,University,Italy,recycling,burial,osteoarchaeology
338,"Brain, C",Venus in Pompeian Domestic Space: Decoration and Context,Theoretical Roman Archaeology Conference Proceedings,2017,pp.51-66,26,proc,1,FALSE,"Brain, C., 2017. Venus in Pompeian Domestic Space: Decoration and Context. Theoretical Roman Archaeology Journal, (2016), pp.51–66. DOI: http://doi.org/10.16995/TRAC2016_51_66",University of Leicester,England,University,Italy,space experience,architecture houses,
339,"Lohmann, P",Private Inscriptions in Public Places? The Ambiguous Nature of Graffiti from Pompeian Houses,Theoretical Roman Archaeology Conference Proceedings,2017,pp.67-84,26,proc,1,FALSE,"Lohmann, P., 2017. Private Inscriptions in Public Places? The Ambiguous Nature of Graffiti from Pompeian Houses. Theoretical Roman Archaeology Journal, (2016), pp.67–84. DOI: http://doi.org/10.16995/TRAC2016_67_84",Ludwig-Maximilians-Universität Munich,Germany,University,Italy,society,architecture graffiti,epigraphy
340,"Clarke, H",Co–producing ‘Place’ and ‘Identity’ in the Upper Durius Valley,Theoretical Roman Archaeology Conference Proceedings,2017,pp.85-98,26,proc,1,FALSE,"Clarke, H., 2017. Co–producing ‘Place’ and ‘Identity’ in the Upper Durius Valley. Theoretical Roman Archaeology Journal, (2016), pp.85–98. DOI: http://doi.org/10.16995/TRAC2016_85_98",University of Leeds,England,University,Spain,place identity community,architecture prehistory settlement,
341,"Donev, D",Were There Large Villages in the Balkan Provinces Under the High Empire?,Theoretical Roman Archaeology Conference Proceedings,2017,pp.99-114,26,proc,1,FALSE,"Donev, D., 2017. Were There Large Villages in the Balkan Provinces Under the High Empire?. Theoretical Roman Archaeology Journal, (2016), pp.99–114. DOI: http://doi.org/10.16995/TRAC2016_99_114",Leiden University,Amsterdam,University,Macedonia Croatia,rural,settlement,survey
342,"Ferrari, K",Studying Evolving Landscapes: Geomorphology as a Research Tool for Landscape Archaeology,Theoretical Roman Archaeology Conference Proceedings,2017,pp.115-132,26,proc,1,FALSE,"Ferrari, K., 2017. Studying Evolving Landscapes: Geomorphology as a Research Tool for Landscape Archaeology. Theoretical Roman Archaeology Journal, (2016), pp.115–132. DOI: http://doi.org/10.16995/TRAC2016_115_132",University of Bologna,Italy,University,Italy,landscape environment,settlement,geoarchaeology
343,"Vanni, E",Welcome-back Marx! Marxist Perspectives for Roman Archaeology at the End of the Post-Modern Era,Theoretical Roman Archaeology Conference Proceedings,2017,pp.133-150,26,proc,1,FALSE,"Vanni, E., 2017. Welcome-back Marx! Marxist Perspectives for Roman Archaeology at the End of the Post-Modern Era. Theoretical Roman Archaeology Journal, (2016), pp.133–149. DOI: http://doi.org/10.16995/TRAC2016_133_149",University of Siena,Italy,University,,marxism,,
344,"García Sánchez, J",Method Matters. Some Comments on the Influence on Theory and Methodologies in Survey Based Research in Italy,Theoretical Roman Archaeology Conference Proceedings,2017,pp.151-164,26,proc,1,FALSE,"Sánchez, J.G., 2017. Method Matters. Some Comments on the Influence on Theory and Methodologies in Survey Based Research in Italy. Theoretical Roman Archaeology Journal, (2016), pp.151–164. DOI: http://doi.org/10.16995/TRAC2016_151_164",Leiden University,Amsterdam,University,Italy,colonialism landscape,,survey
345,"Pasieka, P","Crisis, Marxism and Reconstruction of Time",Theoretical Roman Archaeology Conference Proceedings,2017,pp.165-178,26,proc,1,FALSE,"Pasieka, P., 2017. Crisis, Marxism and Reconstruction of Time. Theoretical Roman Archaeology Journal, (2016), pp.165–178. DOI: http://doi.org/10.16995/TRAC2016_165_178",Deutsches Archäologisches Institut,Germany,Research Centre,Italy Germany,marxism time,modernity,
346,"Pansini, A",The Domus of Apuleius at Ostia Antica: A Private Space in a Central Point of Public Life,Theoretical Roman Archaeology Conference Proceedings,2017,pp.179-193,26,proc,1,FALSE,"Pansini, A., 2017. The Domus of Apuleius at Ostia Antica: A Private Space in a Central Point of Public Life. Theoretical Roman Archaeology Journal, (2016), pp.179–193. DOI: http://doi.org/10.16995/TRAC2016_179_193",Sapienza Università di Roma,Italy,University,Italy,space,architecture temple,epigraphy
347,"Hanscam, E Quiery, J",Editorial: From TRAC to TRAJ: Widening Debates in Roman Archaeology,Theoretical Roman Archaeology Journal,2018,pp.1-9,1,traj,2,TRUE,"Hanscam, E. and Quiery, J., 2018. From TRAC to TRAJ: Widening Debates in Roman Archaeology. Theoretical Roman Archaeology Journal, 1(1), p.9. DOI: http://doi.org/10.16995/traj.365",Durham University,England,University,,gender decolonise diversity,editorial,retrospective
348,"Breeze, D",The Value of Studying Roman Frontiers,Theoretical Roman Archaeology Journal,2018,pp.1-17,1,traj,1,FALSE,"Breeze, D., 2018. The Value of Studying Roman Frontiers. Theoretical Roman Archaeology Journal, 1(1), p.1. DOI: http://doi.org/10.16995/traj.212",Retired,Unknown,Unknown,Britain Romania,frontier imperialism,military,text epigraphy
349,"Alberti, M","The Construction, Use, and Discard of Female Identities: Interpreting Spindle Whorls at Vindolanda and Corbridge",Theoretical Roman Archaeology Journal,2018,pp.1-16,1,traj,1,FALSE,"Alberti, M. 2018. The Construction, Use, and Discard of Female Identities: Interpreting Spindle Whorls at Vindolanda and Corbridge. Theoretical Roman Archaeology Journal, 1(1): 2, pp. 1–16, DOI: https://doi.org/10.16995/traj.241",Vindolanda Trust,England,Heritage trust,Britain,gender practice frontier,military artefacts,
350,"Graham, E","‘There Buds the Laurel’: Nature, Temporality, and the Making of Place in the Cemeteries of Roman Italy",Theoretical Roman Archaeology Journal,2018,pp.1-16,1,traj,1,FALSE,"Graham, E-J. 2018. ‘There Buds the Laurel’: Nature, Temporality, and the Making of Place in the Cemeteries of Roman Italy. Theoretical Roman Archaeology Journal, 1(1): 3, pp. 1–16, DOI: https://doi.org/10.16995/traj.147",Open University,England,University,Italy,experience sensory place agency time,burial,
351,"Harlow, N","Resistance is Useless! Culture, Status, and Power in the Civitas Icenorum",Theoretical Roman Archaeology Journal,2018,pp.1-22,1,traj,1,FALSE,"Harlow, N. 2018. Resistance is Useless! Culture, Status, and Power in the Civitas Icenorum. Theoretical Roman Archaeology Journal, 1(1): 4, pp. 1–22, DOI: https://doi.org/10.16995/traj.350",University of Nottingham,England,University,Britain,resistance status space,prehistory artefacts,gis
352,"Cassibry, K",Spectacular Translucence: The Games in Glass,Theoretical Roman Archaeology Journal,2018,pp.1-20,1,traj,1,FALSE,"Cassibry, K. 2018. Spectacular Translucence: The Games in Glass. Theoretical Roman Archaeology Journal, 1(1): 5, pp. 1–20, DOI: https://doi.org/10.16995/traj.359",Wellesley College,USA,University,,phenomenology sensory,glass art,art
353,"Mason, P Županek, B",Being Roman: Rethinking Ethnic and Social Boundaries in the Roman South-Eastern Alpine World,Theoretical Roman Archaeology Journal,2018,pp.1-16,1,traj,2,TRUE,"Mason, P and Županek, B. 2018. Being Roman: Rethinking Ethnic and Social Boundaries in the Roman South-Eastern Alpine World. Theoretical Roman Archaeology Journal, 1(1): 6, pp. 1–16, DOI: https://doi.org/10.16995/traj.354",Institute for the Protection of Cultural Heritage of Slovenia,Slovenia,National heritage body,Italy Austria Hungary,Romanization,burial artefacts,
354,"Kamash, Z","‘Sweet and Delicious, he who Tastes it will Go Back to it’: Food, Memory and Religion in the Roman Middle East",Theoretical Roman Archaeology Journal,2018,pp.1-15,1,traj,1,FALSE,"Kamash, Z. 2018. ‘Sweet and Delicious, he who Tastes it will Go Back to it’: Food, Memory and Religion in the Roman Middle East. Theoretical Roman Archaeology Journal, 1(1): 7, pp. 1–15, DOI: https://doi.org/10.16995/traj.146",Royal Holloway,England,University,Israel Jordan Iraq,memory,diet architecture temple,
355,"Kolbeck, B",A Foot in Both Camps: The Civilian Suppliers of the Army in Roman Britain,Theoretical Roman Archaeology Journal,2018,pp.1-19,1,traj,1,FALSE,"Kolbeck, B. 2018. A Foot in Both Camps: The Civilian Suppliers of the Army in Roman Britain. Theoretical Roman Archaeology Journal, 1(1): 8, pp. 1–19, DOI: https://doi.org/10.16995/traj.355","King's College, London",England,University,Britain,globalisation economy,military,
356,"Michielin, L O’Donnell, K Astolfi, M",Editorial: Increasing International Perspectives in Theoretical Roman Archaeology,Theoretical Roman Archaeology Journal,2019,pp.1-7,2,traj,3,TRUE,"Michielin, L., O’Donnell, K. and Astolfi, M., 2019. Increasing International Perspectives in Theoretical Roman Archaeology. Theoretical Roman Archaeology Journal, 2(1), p.11. DOI: http://doi.org/10.16995/traj.415",University of Edinburgh,Scotland,University,,diversity gender,editorial internationalism education,
357,"Parker, A",Curing with Creepy Crawlies: A Phenomenological Approach to Beetle Pendants Used in Roman Magical and Medicinal Practice,Theoretical Roman Archaeology Journal,2019,pp.1-16,2,traj,1,FALSE,"Parker, A. 2019. Curing with Creepy Crawlies: A Phenomenological Approach to Beetle Pendants Used in Roman Magical and Medicinal Practice. Theoretical Roman Archaeology Journal, 2(1): 1, pp. 1–16. DOI: https://doi.org/10.16995/traj.363",Open University,England,University,,phenomenology magic materiality,medicine,archaeoentomology
358,"Williams, R Thompson, T Orr, C Birley, A Taylor, G",3D Imaging as a Public Engagement Tool: Investigating an Ox Cranium Used in Target Practice at Vindolanda,Theoretical Roman Archaeology Journal,2019,pp.1-16,2,traj,5,TRUE,"Williams, R, et al. 2019. 3D Imaging as a Public Engagement Tool: Investigating an Ox Cranium Used in Target Practice at Vindolanda. Theoretical Roman Archaeology Journal, 2(1): 2, pp. 1–16. DOI: https://doi.org/10.16995/traj.364",Teesside University,England,University,Britain,violence engagement,military,zooarchaeology digital
359,"Hanscam, E",Postnationalism and the Past: The Politics of Theory in Roman Archaeology,Theoretical Roman Archaeology Journal,2019,pp.1-14,2,traj,1,FALSE,"Hanscam, E. 2019. Postnationalism and the Past: The Politics of Theory in Roman Archaeology. Theoretical Roman Archaeology Journal, 2(1): 3, pp. 1–14. DOI: https://doi.org/10.16995/traj.370",Durham University,England,University,Romania Britain,nationalism postnationalism,politics,
360,"Brughmans, T Hanson, J Mandich, M Romanowska, I Rubio-Campillo, X Carrignon, S Collins-Elliott, S Crawford, K Daems, D Fulminante, F de Haas, T Kelly, P Moreno Escobar, M. del C Paliou, E Prignano, L Ritondale, M",Formal Modelling Approaches to Complexity Science in Roman Studies: A Manifesto,Theoretical Roman Archaeology Journal,2019,pp.1-19,2,traj,16,TRUE,"Brughmans, T, et al. 2019. Formal Modelling Approaches to Complexity Science in Roman Studies: A Manifesto. Theoretical Roman Archaeology Journal, 2(1): 4, pp. 1–19. DOI: https://doi.org/10.16995/traj.367",University of Oxford,England,University,,complexity,science,agent-based-modelling modelling
361,"Rowan, E","Same Taste, Different Place: Looking at the Consciousness of Food Origins in the Roman World",Theoretical Roman Archaeology Journal,2019,pp.1-18,2,traj,1,FALSE,"Rowan, E. 2019. Same Taste, Different Place: Looking at the Consciousness of Food Origins in the Roman World. Theoretical Roman Archaeology Journal, 2(1): 5, pp. 1–18. DOI: https://doi.org/10.16995/traj.378",Royal Holloway,England,University,Netherlands Germany,sensory,diet military,archaeobotanical
362,"Roskams, S",The Limitation of Water Flow and the Limitations of Postmodernism,Theoretical Roman Archaeology Journal,2019,pp.1-17,2,traj,1,FALSE,"Roskams, S. 2019. The Limitation of Water Flow and the Limitations of Postmodernism. Theoretical Roman Archaeology Journal, 2(1): 6, pp. 1–17. DOI: https://doi.org/10.16995/traj.371",University of York,England,University,Britain,postmodernism landscape,water wells,
363,"Weekes, J Watson, S Wallace, L Mazzilli, F Gardner, A Alberti, M",Alienation and Redemption: The Praxis of (Roman) Archaeology in Britain,Theoretical Roman Archaeology Journal,2019,pp.1-17,2,traj,6,TRUE,"Weekes, J, et al. 2019. Alienation and Redemption: The Praxis of (Roman) Archaeology in Britain. Theoretical Roman Archaeology Journal, 2(1): 7, pp. 1–17. DOI: https://doi.org/10.16995/traj.374",Canterbury Archaeological Trust,England,Commercial archaeological contractor,Britain,practice,academia commercial-archaeology,
364,"Stemberger, K","Full Archives, Meaningless Data? What Artefacts Can Tell about Age and Gender at Large-Scale Cemeteries (Case Study Colonia Iulia Emona)",Theoretical Roman Archaeology Journal,2019,pp.1-17,2,traj,1,FALSE,"Stemberger, K. 2019. Full Archives, Meaningless Data? What Artefacts Can Tell about Age and Gender at Large-Scale Cemeteries (Case Study Colonia Iulia Emona). Theoretical Roman Archaeology Journal, 2(1): 8, pp. 1–17. DOI: https://doi.org/10.16995/traj.369",Independent Researcher,Unknown,Independent,Italy,identity gender,burial age,
365,"Puddo, M",An Archaeology of the Subalterns’ Disaggregated History: Interpreting Burial Manipulations of Roman-Period Sardinia through Gramsci’s Theory,Theoretical Roman Archaeology Journal,2019,pp.1-21,2,traj,1,FALSE,"Puddu, M. 2019. An Archaeology of the Subalterns’ Disaggregated History: Interpreting Burial Manipulations of Roman-Period Sardinia through Gramsci’s Theory. Theoretical Roman Archaeology Journal, 2(1): 9, pp. 1–21. DOI: https://doi.org/10.16995/traj.373",University of Cambridge,England,University,Italy,post-colonial subaltern,burial,
366,"Brain, C",Painting by Numbers: A Quantitative Approach to Roman Art,Theoretical Roman Archaeology Journal,2019,pp.1-17,2,traj,1,FALSE,"Brain, C. 2019. Painting by Numbers: A Quantitative Approach to Roman Art. Theoretical Roman Archaeology Journal, 2(1): 10, pp. 1–17. DOI: https://doi.org/10.16995/traj.376",University of Leicester,England,University,Italy,space visibility,architecture,art quantitative
367,"González Sánchez, S Guglielmi, A",Preface: Towards New Frontiers and Beyond,TRAC Themes in Roman Archaeology,2017,pp.vii-viii,1,themes,2,TRUE,"González Sánchez, S. & Guglielmi, A. 2017. Preface: Towards New Frontiers and Beyond. In: González Sánchez, S. & Guglielmi, A. (eds). Romans and Barbarians Beyond the Frontiers: Archaeology, Ideology and Identities in the North. TRAC Themes in Roman Archaeology 1. Oxford: Oxbow Books, vii-viii",University of Leicester,England,University,,,preface,
368,"Hingley, R",Introduction: Imperial Limits and the Crossing of Frontiers,TRAC Themes in Roman Archaeology,2017,pp.1-7,1,themes,1,FALSE,"Hingley, R. 2017. Introduction: Imperial Limits and the Crossing of Frontiers. In: González Sánchez, S. & Guglielmi, A. (eds). Romans and Barbarians Beyond the Frontiers: Archaeology, Ideology and Identities in the North. TRAC Themes in Roman Archaeology 1. Oxford: Oxbow Books, 1-7",Durham University,England,University,,frontier boundary identity,,
369,"Mata, K",Of Barbarians and Boundaries: The Making and Remaking of Transcultural Discourse,TRAC Themes in Roman Archaeology,2017,pp.8-33,1,themes,1,FALSE,"Mata, K. 2017. Of Barbarians and Boundaries: The Making and Remaking of Transcultural Discourse. In: González Sánchez, S. & Guglielmi, A. (eds). Romans and Barbarians Beyond the Frontiers: Archaeology, Ideology and Identities in the North. TRAC Themes in Roman Archaeology 1. Oxford: Oxbow Books, 8-33",University of Chicago,USA,University,,cosmopolitan transcultural,coins,text
370,"Gardner, A",Roman Britain from the Outside: Comparing Western and Northern Frontier Cultures,TRAC Themes in Roman Archaeology,2017,pp.34-47,1,themes,1,FALSE,"Gardner, A. 2017. Roman Britain from the Outside: Comparing Western and Northern Frontier Cultures. In: González Sánchez, S. & Guglielmi, A. (eds). Romans and Barbarians Beyond the Frontiers: Archaeology, Ideology and Identities in the North. TRAC Themes in Roman Archaeology 1. Oxford: Oxbow Books, 34-47",University College London,England,University,Britain,frontier identity practice,military modernity,
371,"Cahill Wilson, J","Et tu, Hibernia? Frontier Zones and Culture Contact – Ireland in a Roman World",TRAC Themes in Roman Archaeology,2017,pp.48-69,1,themes,1,FALSE,"Cahill Wilson, J. Et tu, Hibernia? Frontier Zones and Culture Contact – Ireland in a Roman World. In: González Sánchez, S. & Guglielmi, A. (eds). Romans and Barbarians Beyond the Frontiers: Archaeology, Ideology and Identities in the North. TRAC Themes in Roman Archaeology 1. Oxford: Oxbow Books, 48-69",University of Bristol,England,University,Ireland,identity materiality mobility migration,artefacts,
372,"Pauli Jensen, X",A World of Warcraft: Warrior Identities in Roman Iron Age Scandinavia,TRAC Themes in Roman Archaeology,2017,pp.70-82,1,themes,1,FALSE,"Pauli Jensen, X. 2017. A World of Warcraft: Warrior Identities in Roman Iron Age Scandinavia. In: González Sánchez, S. & Guglielmi, A. (eds). Romans and Barbarians Beyond the Frontiers: Archaeology, Ideology and Identities in the North. TRAC Themes in Roman Archaeology 1. Oxford: Oxbow Books, 70-82","Moesgaard Museum, Denmark",Denmark,Local museum,Denmark Norway Sweden,identity violence structured-deposition,weapons,
373,"Grane, T",Modern Perceptions of Roman–Scandinavian Relations: Research History and Interpretations,TRAC Themes in Roman Archaeology,2017,pp.83-104,1,themes,1,FALSE,"Grane, T. 2017. Modern Perceptions of Roman–Scandinavian Relations: Research History and Interpretations. In: González Sánchez, S. & Guglielmi, A. (eds). Romans and Barbarians Beyond the Frontiers: Archaeology, Ideology and Identities in the North. TRAC Themes in Roman Archaeology 1. Oxford: Oxbow Books, 83-104",University of Copenhagen,Denmark,University,Denmark Norway Sweden,,modernity,historiography text
374,"Vo?, H-U  Wigg-Wolf, D",Romans and Roman Finds in the Central European Barbaricum: A New View on Romano-Germanic Relation?,TRAC Themes in Roman Archaeology,2017,pp.105-124,1,themes,2,TRUE,"Vo?, H-U.  & Wigg-Wolf, D. 2017. Romans and Roman Finds in the Central European Barbaricum: A New View on Romano-Germanic Relation? In: González Sánchez, S. & Guglielmi, A. (eds). Romans and Barbarians Beyond the Frontiers: Archaeology, Ideology and Identities in the North. TRAC Themes in Roman Archaeology 1. Oxford: Oxbow Books, 105-124",Deutsches Archäologisches Institut,Germany,Research Centre,Germany,identity,artefacts coins burial,
